Date,Open,High,Low,Close,Adj Close,Volume
6/29/1998,15.791667,16.604168,15.791667,16.458332,16.458332,24507600
6/30/1998,16.302082,16.916668,16.125,16.625,16.625,21877200
7/1/1998,16.96875,19.083332,16.791668,19.020832,19.020832,28254600
7/2/1998,19.291668,20.916668,18.75,20.666668,20.666668,52279800
7/6/1998,21.229168,23.458332,20.916668,23.25,23.25,46883400
7/7/1998,23.833332,23.958332,20.166668,20.354168,20.354168,47251800
7/8/1998,18.645832,19.833332,17.0625,17.854168,17.854168,58311600
7/9/1998,18.4375,19.416668,17.5,17.583332,17.583332,29493000
7/10/1998,17.166668,17.645832,16.354168,16.583332,16.583332,24982200
7/13/1998,16.083332,18,15.708333,17.9375,17.9375,19248000
7/14/1998,18.083332,19.291668,17.833332,19.166668,19.166668,25358400
7/15/1998,19.333332,19.5625,18.291668,18.75,18.75,17610000
7/16/1998,18.90625,19.166668,18.083332,18.895832,18.895832,13999200
7/17/1998,18.729168,20.083332,18.645832,19.96875,19.96875,17826000
7/20/1998,20.1875,23.354168,19.958332,22.916668,22.916668,35925000
7/21/1998,22.875,24.5,21.333332,22.010418,22.010418,47328000
7/22/1998,22.333332,23.3125,21.75,22.333332,22.333332,27974400
7/23/1998,21.666668,23.083332,21.166668,21.270832,21.270832,27810600
7/24/1998,21.541668,21.916668,19.5,20.708332,20.708332,28974000
7/27/1998,19.854168,21.229168,19.270832,20.927082,20.927082,28830600
7/28/1998,20.739582,21,19.666668,19.822918,19.822918,20746800
7/29/1998,20.083332,20.25,17.916668,17.96875,17.96875,19644600
7/30/1998,18.625,19.166668,17.583332,18.958332,18.958332,31774200
7/31/1998,19.083332,19.1875,18.1875,18.479168,18.479168,13440600
8/3/1998,18.291668,18.583332,17.875,18.041668,18.041668,12913200
8/4/1998,18.354168,19.020832,18.020832,18.3125,18.3125,28065000
8/5/1998,18.802082,18.854168,16.666668,17.697918,17.697918,23060400
8/6/1998,17.395832,18.75,17.177082,18.25,18.25,18603600
8/7/1998,18.541668,19.8125,18.229168,19.333332,19.333332,23433000
8/10/1998,19.5,20.3125,19.166668,20.270832,20.270832,18516000
8/11/1998,19.25,21.145832,19.208332,20.666668,20.666668,28158600
8/12/1998,21.125,21.916668,20.677082,21.729168,21.729168,20140800
8/13/1998,21.770832,22.5,21.166668,21.25,21.25,24629400
8/14/1998,21.78125,21.791668,20.041668,20.458332,20.458332,19410000
8/17/1998,20.125,20.53125,19.75,19.947918,19.947918,14617800
8/18/1998,20.197918,21.520832,19.854168,21.447918,21.447918,18000600
8/19/1998,21.875,22.291668,21.166668,21.458332,21.458332,19281600
8/20/1998,21.041668,21.625,20.916668,21.520832,21.520832,15886200
8/21/1998,21.208332,21.713543,20.541668,21.614582,21.614582,15136200
8/24/1998,21.708332,22.5,21.6875,22.458332,22.458332,13949400
8/25/1998,22.90625,22.916668,21.791668,21.9375,21.9375,14351400
8/26/1998,21.625,21.708332,21.135418,21.208332,21.208332,16390800
8/27/1998,20.729168,20.833332,19.833332,19.833332,19.833332,16027200
8/28/1998,19.958332,20.145832,17.208332,17.648438,17.648438,39036000
8/31/1998,17.572918,17.9375,13.854167,13.958333,13.958333,41000400
9/1/1998,12.6875,14.4375,10.833333,13.325521,13.325521,67450800
9/2/1998,13.854167,16,13.666667,14.645833,14.645833,47328600
9/3/1998,13.9375,15.041667,13.458333,14.3125,14.3125,25471200
9/4/1998,14.447917,15,13.666667,14.375,14.375,17812200
9/8/1998,15.666667,15.791667,15,15.375,15.375,21936600
9/9/1998,14.916667,15.395833,13.895833,14.083333,14.083333,17896200
9/10/1998,13.229167,13.416667,12.541667,13.270833,13.270833,31969800
9/11/1998,13.0625,13.479167,12.25,12.677083,12.677083,23612400
9/14/1998,13.395833,13.416667,12.25,12.28125,12.28125,15060000
9/15/1998,11.802083,12.458333,11.729167,12.166667,12.166667,17228400
9/16/1998,12.375,14.322917,11.916667,14.083333,14.083333,39118800
9/17/1998,13.40625,13.916667,12.75,12.833333,12.833333,42457800
9/18/1998,12.958333,13.53125,12.947917,13.28125,13.28125,16742400
9/21/1998,12.666667,14.479167,12.666667,14.25,14.25,23767200
9/22/1998,14.708333,15.25,14.604167,14.697917,14.697917,30305400
9/23/1998,15.135417,17.583332,15,17.520832,17.520832,45583800
9/24/1998,17.854168,19.479168,16.916668,17.020832,17.020832,51124200
9/25/1998,16.416668,18.4375,16.416668,18.208332,18.208332,36598800
9/28/1998,19.395832,20,18.645832,19.270832,19.270832,38604600
9/29/1998,19.541668,19.927082,18.583332,18.854168,18.854168,38335800
9/30/1998,18.583332,19.25,18.135418,18.604168,18.604168,29430600
10/1/1998,18,18.5,16.666668,17.104168,17.104168,34392000
10/2/1998,17.552082,18.645832,16.833332,18.375,18.375,34495800
10/5/1998,18.145832,18.5,16.833332,17.450521,17.450521,24496200
10/6/1998,18.583332,18.708332,17.333332,18.052082,18.052082,28171800
10/7/1998,17.104168,17.458332,15.208333,15.572917,15.572917,42834000
10/8/1998,13.8125,14.666667,13.333333,14.364583,14.364583,30384600
10/9/1998,15.041667,15.3125,13.958333,15.197917,15.197917,20727000
10/12/1998,16.1875,16.833332,15.5,15.53125,15.53125,21817200
10/13/1998,15.302083,15.895833,15.104167,15.229167,15.229167,10685400
10/14/1998,15.177083,16.270832,14.958333,15.583333,15.583333,15590400
10/15/1998,15.708333,16.3125,15.416667,16.177082,16.177082,16971000
10/16/1998,16.4375,16.989582,16.166668,16.572918,16.572918,21405000
10/19/1998,16.5,17.8125,16.5,17.625,17.625,16681200
10/20/1998,18.125,18.75,17.770832,17.791668,17.791668,19167600
10/21/1998,18.239582,18.375,17.604168,18.333332,18.333332,12618000
10/22/1998,17.9375,19.645832,17.895832,19.114582,19.114582,26695200
10/23/1998,19.083332,19.71875,19.020832,19.354168,19.354168,13624800
10/26/1998,19.854168,20.3125,19.458332,20.239582,20.239582,19516800
10/27/1998,20.6875,21,19.34375,19.385418,19.385418,20164200
10/28/1998,19.489582,19.916668,19.041668,19.510418,19.510418,19891800
10/29/1998,20.21875,21.208332,19.833332,21.083332,21.083332,32932200
10/30/1998,21.104168,21.635418,20.770832,21.072918,21.072918,21182400
11/2/1998,21.354168,21.90625,20.75,21.833332,21.833332,31494000
11/3/1998,21.854168,22.177082,20.958332,21.010418,21.010418,18388200
11/4/1998,21.895832,22,21.104168,21.635418,21.635418,20383200
11/5/1998,21.28125,21.6875,21.041668,21.416668,21.416668,14732400
11/6/1998,21,21.375,20.666668,20.760418,20.760418,18894000
11/9/1998,20.3125,21.239582,20.125,21.145832,21.145832,21843600
11/10/1998,21.375,23.333332,21.354168,21.958332,21.958332,34375800
11/11/1998,22.270832,22.375,20.875,21.104168,21.104168,16463400
11/12/1998,20.916668,22.145832,20.833332,21.833332,21.833332,11974800
11/13/1998,21.989582,22.25,20.953125,21.291668,21.291668,8940600
11/16/1998,21.416668,21.645832,20.583332,21.041668,21.041668,11897400
11/17/1998,21.5625,25.708332,21.416668,24.75,24.75,61141800
11/18/1998,25.270832,28.4375,25.25,27.333332,27.333332,59133600
11/19/1998,28.5,29.25,25.5,25.541668,25.541668,38895600
11/20/1998,29.166668,30.291668,27.5,30.104168,30.104168,66912600
11/23/1998,31.8125,36.416668,31.010418,36.333332,36.333332,67781400
