DATE,DFF
2023-03-18,4.58
2023-03-19,4.58
2023-03-20,4.58
2023-03-21,4.58
2023-03-22,4.58
2023-03-23,4.83
2023-03-24,4.83
2023-03-25,4.83
2023-03-26,4.83
2023-03-27,4.83
2023-03-28,4.83
2023-03-29,4.83
2023-03-30,4.83
2023-03-31,4.83
